longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.37,33.77,26,6339,876,2540,880,10.1447,500001,NEAR OCEAN
-118.14,34.06,37,1339,258,706,238,4.7569,253800,<1H OCEAN
-118.35,33.88,36,1583,411,1097,350,4.0737,238200,<1H OCEAN
-121.5,38.49,32,4013,725,2032,675,3.3689,83400,INLAND
-122.11,37.83,19,5130,741,1887,712,7.203,369900,NEAR BAY
-117.08,32.58,15,1462,274,1002,271,3.9698,142700,NEAR OCEAN
-122.36,37.93,42,1796,389,1107,372,1.9375,87000,NEAR BAY
-118.42,34.15,48,680,131,268,126,4.615,371400,<1H OCEAN
-121.7,36.55,21,3905,583,1528,586,7.6245,336600,<1H OCEAN
-122.07,37.89,38,757,124,319,123,5.6558,263300,NEAR BAY
-121.38,38.62,34,2352,610,1127,592,2.2,116500,INLAND
-117.74,34.1,29,2742,488,2477,532,3.5072,121900,INLAND
-120.15,39.15,25,1669,348,163,78,5.75,176600,INLAND
-117.95,33.92,11,3127,706,1594,694,4.3426,141300,<1H OCEAN
-121.3,38.13,27,1004,192,470,192,2.8942,116700,INLAND
-121.76,36.92,36,2096,409,1454,394,3.2216,238300,<1H OCEAN
-118.54,34.19,22,3380,790,2199,737,2.5739,239200,<1H OCEAN
-118.28,33.77,47,307,69,374,65,2.9063,146900,<1H OCEAN
-120.93,37.73,14,2799,NA,2294,596,2.6343,81500,INLAND
-117.19,34.08,22,2467,555,1567,494,2.6536,84700,INLAND
-121.48,38.58,52,576,146,273,127,2.01,94300,INLAND
-121.8,39.33,30,1019,192,501,185,2.5259,81300,INLAND
-119.13,36.13,28,1673,385,1434,371,2.0586,40900,INLAND
-119.31,36.34,32,1893,453,1744,425,1.4729,54100,INLAND
-118.41,34,35,1062,305,1026,307,2.7153,265500,<1H OCEAN
-122.64,38.25,31,2554,515,1507,533,3.8,162600,<1H OCEAN
-122.07,37.52,3,14014,2861,7205,2753,6.0824,273500,NEAR BAY
-118.1,33.9,37,796,175,740,183,3.6,156400,<1H OCEAN
-121.47,38.13,13,3192,715,1768,626,2.2619,123500,INLAND
-116.43,34.1,17,6683,1296,2677,1227,2.4828,84000,INLAND
-117.74,34.05,30,1185,317,1466,302,2.625,94300,INLAND
-118.16,33.8,9,3564,835,1530,807,5.1806,175000,NEAR OCEAN
-117.12,32.59,28,2793,706,1825,676,2.6724,144500,NEAR OCEAN
-118.27,33.91,42,1786,358,1318,373,2.625,101100,<1H OCEAN
-119.22,34.26,16,2596,625,1403,562,3.4018,145200,NEAR OCEAN
-117.03,32.77,34,1796,428,918,424,2.875,161200,<1H OCEAN
-115.57,32.85,33,1365,269,825,250,3.2396,62300,INLAND
-119.34,36.33,17,2250,430,1218,468,4.1812,93700,INLAND
-122.61,38.25,18,2915,418,1340,421,5.2452,204900,<1H OCEAN
-116.18,33.69,17,89,19,79,21,2.375,155000,INLAND
-117.09,32.57,23,1817,323,1371,327,3.6736,139500,NEAR OCEAN
-122.13,37.77,24,2459,317,916,324,7.0712,293000,NEAR BAY
-117.28,33.06,8,4172,1022,2585,941,4.0118,245800,NEAR OCEAN
-118.08,33.76,26,996,364,366,313,1.2813,46700,<1H OCEAN
-118.4,34.15,44,2515,510,967,484,5.0754,374500,<1H OCEAN
-118.23,33.98,25,986,310,1439,251,2.39,183300,<1H OCEAN
-122.22,37.78,51,1637,463,1543,393,2.489,119100,NEAR BAY
-122.11,37.99,16,3913,710,1782,676,5.1297,206700,NEAR BAY
-122.41,37.79,52,2909,851,1711,830,3.0296,500001,NEAR BAY
-117.4,33.95,46,2189,423,866,389,3.1384,111500,INLAND
-122.32,37.56,9,1150,287,377,243,3.8317,237500,NEAR OCEAN
-119.02,35.41,21,2534,554,1297,517,2.0575,67000,INLAND
-118.27,34.05,25,1316,836,2796,784,1.7866,325000,<1H OCEAN
-118.27,34,43,1258,381,1276,358,1.8917,106900,<1H OCEAN
-122.27,37.48,26,3542,507,1392,524,8.5184,500001,NEAR OCEAN
-122.27,37.84,48,1922,409,1026,335,1.7969,110400,NEAR BAY
-122.04,38.24,22,2761,757,2612,641,1.6875,87500,INLAND
-121.91,37.46,26,2762,496,1716,459,5.6062,226800,<1H OCEAN
-120.79,38.54,34,1133,254,495,187,2.05,68900,INLAND
-118.15,34.12,52,1518,344,725,296,3.4018,204500,<1H OCEAN
-117.13,32.76,29,2568,682,1191,642,2.1094,162500,NEAR OCEAN
-122.01,37.94,26,1619,224,706,220,6.0704,268000,NEAR BAY
-121.28,38.03,11,826,150,684,166,3.9265,107400,INLAND
-117.62,34.02,9,4265,587,2280,589,5.5632,195100,INLAND
-120.08,36.97,13,3356,589,1458,601,3.8257,94200,INLAND
-118.14,33.89,39,1744,339,1048,330,4.5735,195500,<1H OCEAN
-121.35,38.7,5,14414,2979,7608,2832,3.5802,129600,INLAND
-119.77,36.72,43,1763,389,1623,390,1.4427,47700,INLAND
-117.25,34.04,18,5761,1063,2763,1058,4.4472,161100,INLAND
-121.22,38,35,1841,300,783,285,2.8167,162100,INLAND
-122.24,38.07,13,5451,1194,2957,1081,2.6098,162500,NEAR BAY
-117.2,34.26,17,9419,1455,1382,459,6.2233,230900,INLAND
-117.34,33.23,11,3737,757,2212,727,3.1062,141000,NEAR OCEAN
-118.24,33.96,30,859,221,912,191,1.9041,105100,<1H OCEAN
-121.89,37.35,44,2019,615,1243,518,2.0549,193800,<1H OCEAN
-122.68,41.15,32,817,206,224,89,3.631,90400,INLAND
-117.07,32.91,5,2234,256,894,253,10.3354,477600,<1H OCEAN
-121.39,38.59,34,1151,234,563,251,2.8,113600,INLAND
-122.01,37.92,18,2808,337,1038,337,8.3956,353600,NEAR BAY
-119.05,35.33,18,12707,2685,7009,2552,2.9438,87200,INLAND
-118.19,33.94,45,1871,371,1315,382,3.3661,160800,<1H OCEAN
-118.35,33.92,24,2728,845,2023,773,2.75,239700,<1H OCEAN
-119.79,36.81,33,1461,261,494,254,4.25,132200,INLAND
-117,32.77,30,1802,401,776,386,2.8125,173500,<1H OCEAN
-122.18,37.72,45,1498,313,1003,305,3.8047,156700,NEAR BAY
-118.09,34.17,36,2875,552,1131,458,4.3083,269300,INLAND
-118.45,34.25,21,2143,565,1803,497,3.9833,162500,<1H OCEAN
-118.13,33.87,20,3638,868,2326,822,3.3304,194600,<1H OCEAN
-121.28,38.67,29,1087,174,430,174,4.3625,158800,INLAND
-121.28,38.77,6,3819,550,1738,587,5.8718,201400,INLAND
-117.95,33.78,9,3553,1035,2017,986,2.9726,133800,<1H OCEAN
-119.7,34.43,37,1462,306,678,322,5.1545,418400,<1H OCEAN
-122.21,37.47,33,1266,415,1991,334,2.92,202800,NEAR OCEAN
-117.34,34.13,29,331,85,341,107,0.7069,70300,INLAND
-120.01,34.54,30,2992,609,1288,465,3.9375,292900,NEAR OCEAN
-120.37,38.01,30,473,NA,242,93,2.5417,123200,INLAND
-121.32,37.96,46,1832,365,975,373,2.0398,88100,INLAND
-121.83,37.37,43,821,149,370,135,4.25,209100,<1H OCEAN
-122.05,36.87,18,2232,440,1091,458,3.8269,276000,NEAR OCEAN
-121.46,38.58,40,1394,397,689,353,1.7765,109800,INLAND
-119.02,35.43,39,2033,370,956,379,3.1736,70700,INLAND
-118.53,34.44,19,1285,195,650,193,6.0398,217800,<1H OCEAN
-118.85,34.18,11,5873,1455,3089,1365,3.5504,173800,<1H OCEAN
-118.49,34.18,31,3073,674,1486,684,4.8984,311700,<1H OCEAN
-118.44,34.24,35,2344,435,1531,399,3.725,178200,<1H OCEAN
-117.21,34.13,31,3037,565,1834,575,3.3445,92900,INLAND
-118.08,33.89,28,1035,275,1545,269,3.0357,123400,<1H OCEAN
-117.18,34.06,26,1953,446,1284,414,1.3485,85100,INLAND
-122.05,37.55,23,4247,835,2357,823,5.1321,211300,NEAR BAY
-118.14,33.92,31,3731,853,2313,801,3.2237,218200,<1H OCEAN
-117.14,34.06,15,3057,510,1154,460,3.9741,141100,INLAND
-117.9,34.09,34,1562,272,825,266,4.125,220800,<1H OCEAN
-121.66,37.13,20,4477,924,2656,871,3.8788,226900,<1H OCEAN
-120.71,37.39,11,1479,341,1476,327,3.2721,73800,INLAND
-122.47,37.72,46,1453,306,817,310,3,246700,NEAR OCEAN
-122.13,37.69,17,2380,769,1216,643,3.395,271300,NEAR BAY
-118.61,34.19,28,3824,749,1790,701,4.1154,246400,<1H OCEAN
-118.35,33.99,45,1764,401,679,334,3.2021,222100,<1H OCEAN
-121.87,37.43,22,3805,596,2118,621,6.2892,254200,<1H OCEAN
-118.13,33.79,44,2153,375,947,364,5.0072,236200,NEAR OCEAN
-118.2,34.12,41,1908,503,1557,453,2.9194,162000,<1H OCEAN
-121.79,37.32,20,3034,451,1669,430,6.2742,241300,<1H OCEAN
-122.04,36.98,35,2155,355,866,335,5.6188,404700,NEAR OCEAN
-117.14,32.71,32,719,251,894,208,1.8456,103100,NEAR OCEAN
-121.92,37.32,39,836,254,704,272,3.5256,192600,<1H OCEAN
-121.85,39.75,39,568,127,267,129,1.8095,78100,INLAND
-121.64,37.85,22,1999,415,967,320,4.4583,253900,INLAND
-118.41,33.85,16,6123,1989,2853,1789,4.425,336400,NEAR OCEAN
-117.02,32.66,19,771,NA,376,108,6.6272,273600,NEAR OCEAN
-122.42,37.71,44,2080,489,1781,478,3.6827,215300,NEAR BAY
-118.2,34.03,41,1292,334,1150,322,1.925,135200,<1H OCEAN
-118.3,33.89,30,2756,858,1806,787,3.0329,207800,<1H OCEAN
-116.99,32.7,15,3660,622,2629,612,4.0444,150100,NEAR OCEAN
-118.22,34.21,29,2174,418,1030,395,3.5707,341700,<1H OCEAN
-121.26,37.96,43,527,133,367,152,2.5,63600,INLAND
-118.13,33.84,35,3008,674,1584,671,3.5465,213200,<1H OCEAN
-122.02,38.26,8,2894,602,1566,572,3.6335,131600,INLAND
-118.42,34.26,36,973,221,1086,218,3.4519,143300,<1H OCEAN
-117.87,34.09,36,1267,191,640,200,5.2405,220000,<1H OCEAN
-118.35,33.94,42,1028,278,1369,261,3.3125,144600,<1H OCEAN
-117.92,33.87,36,1125,285,966,257,2.8438,162500,<1H OCEAN
-116.39,33.69,10,11659,2007,2186,1083,6.9833,238800,INLAND
-117.7,34.04,13,5301,1025,2870,984,3.5954,163000,INLAND
-117.09,32.74,42,1986,472,1472,475,2.1757,110100,NEAR OCEAN
-117.68,33.49,18,4173,625,1649,634,6.3568,294300,<1H OCEAN
-122.03,37.61,37,1383,259,808,241,4.0125,161400,NEAR BAY
-122.21,37.43,33,1606,254,727,271,8.6963,500001,NEAR OCEAN
-117.23,33.16,4,3066,625,1164,582,4,228100,NEAR OCEAN
-118.27,33.94,38,1314,318,1080,285,1.5872,89800,<1H OCEAN
-119.88,34.43,16,1734,365,962,391,4.4777,282500,NEAR OCEAN
-118.3,34.07,28,5221,2530,5840,2374,1.8829,300000,<1H OCEAN
-122.42,37.75,52,1564,396,1162,374,3,275000,NEAR BAY
-122.09,37.4,36,1575,379,1036,382,5.1408,264700,NEAR BAY
-118.38,33.85,31,3533,729,1647,679,5.5843,384600,<1H OCEAN
-122.02,37.98,37,1474,343,782,331,3.4187,161700,NEAR BAY
-118.28,33.93,42,1898,460,1503,429,2.5179,97400,<1H OCEAN
-116.8,33.8,35,324,63,158,39,3.4167,100000,INLAND
-118.44,33.95,37,2076,332,771,327,6.2551,500001,<1H OCEAN
-119.85,36.77,27,1510,344,847,295,2.9315,83200,INLAND
-121.46,38.65,14,3167,551,1787,533,3.8125,92600,INLAND
-122.13,40.01,21,916,194,451,178,2.125,63300,INLAND
-124.17,40.78,39,1606,330,731,327,1.6369,68300,NEAR OCEAN
-118.37,33.98,39,303,69,131,73,4.3438,331800,<1H OCEAN
-120.41,38.33,17,1463,338,529,226,3.024,100900,INLAND
-118.07,34.15,45,1095,237,672,234,3.4087,209200,INLAND
-122.07,37.39,37,1169,239,589,249,5.0131,330300,NEAR BAY
-118.22,34.13,35,2983,526,1614,543,5.7794,272400,<1H OCEAN
-122.41,37.66,44,431,195,682,212,3.2833,233300,NEAR OCEAN
-121.89,37.36,37,1525,363,1075,374,2.8971,186100,<1H OCEAN
-117.87,33.73,45,2264,NA,1970,499,3.4193,177000,<1H OCEAN
-121.46,38.54,36,1825,411,1226,391,1.5292,55700,INLAND
-120.43,34.86,17,1932,347,874,312,3.8203,141500,<1H OCEAN
-117.79,34.1,26,1664,344,1024,339,3.5192,190500,INLAND
-118.16,34.02,44,1218,374,1175,342,1.9688,173900,<1H OCEAN
-116.98,32.8,28,5721,1029,2672,1054,3.963,164400,<1H OCEAN
-117.22,33.48,5,1585,247,510,181,6.9136,493300,<1H OCEAN
-119.76,36.8,20,6257,1346,2795,1267,2.2094,83700,INLAND
-117.99,33.67,19,3808,790,1776,756,4.625,282200,<1H OCEAN
-121.21,38.67,19,2987,626,1610,605,3.0533,112100,INLAND
-122.24,37.76,52,2504,516,979,472,3.4762,244000,NEAR BAY
-119,35.4,44,2250,378,928,379,4.3906,93900,INLAND
-122.25,38.1,52,1591,372,817,357,2.1411,97200,NEAR BAY
-122.11,37.36,34,1575,183,511,180,13.1867,500001,NEAR BAY
-117.65,33.58,2,2411,354,703,217,7.8061,331400,<1H OCEAN
-117.97,33.85,45,818,147,546,152,5.1057,170700,<1H OCEAN
-121.62,39.16,16,2037,464,1267,451,2.4556,97100,INLAND
-122.07,37.37,22,3770,727,1657,762,4.8021,457500,NEAR BAY
-122.26,38.12,28,3102,734,1623,639,3.1025,103700,NEAR BAY
-121.73,37.68,17,20354,3493,8768,3293,5.4496,238900,INLAND
-118.19,33.84,24,1228,320,537,273,2.25,192000,NEAR OCEAN
-118.17,33.87,40,2462,587,1821,536,3.5646,162600,<1H OCEAN
-118.15,34.19,38,1750,411,1398,409,2.3967,163100,<1H OCEAN
-122.16,38.05,52,1888,457,830,408,3.1373,185100,NEAR BAY
-118.42,34.01,42,1700,438,997,436,2.9213,305000,<1H OCEAN
-121.19,38.67,16,1754,284,773,277,4.817,147000,INLAND
-117.12,33.07,45,1032,235,363,177,3.6389,186600,<1H OCEAN
-118.13,34.04,42,2205,451,1392,423,4.3646,211400,<1H OCEAN
-122.24,37.81,52,2026,482,709,456,3.2727,268500,NEAR BAY
-121.44,38.71,25,2336,406,1172,408,3.5129,101200,INLAND
-119.17,34.17,42,1411,300,1295,339,2.6667,164900,NEAR OCEAN
-122.67,38.45,24,2622,525,1027,510,2.9222,242600,<1H OCEAN
-122.27,37.88,52,1693,391,669,367,3.5417,287500,NEAR BAY
-115.54,32.97,41,2429,454,1188,430,3.0091,70800,INLAND
-117.14,34.75,33,552,120,347,97,1.8158,100000,INLAND
-118.4,33.78,26,5005,776,2357,790,8.5421,500001,NEAR OCEAN
-121.29,38.13,20,3168,514,1390,490,5,154800,INLAND
-120.46,36.87,20,1287,310,954,269,1.3386,63000,INLAND
-118.15,34.11,52,2375,369,930,351,7.4111,469100,<1H OCEAN
-120.85,37.51,15,1131,285,728,281,1.5531,93100,INLAND
-117.95,34.06,32,2252,415,1370,411,4.6312,184800,<1H OCEAN
-117.73,34.09,36,1543,297,1355,303,3.5313,117800,INLAND
-121.32,37.95,36,747,189,338,145,1.7885,62100,INLAND
-118.09,33.92,31,1983,419,1157,390,3.5455,168300,<1H OCEAN
-117.28,33.94,10,972,212,773,219,1.3125,135700,INLAND
-118.54,34.17,11,1080,174,386,160,6.1274,315900,<1H OCEAN
-120.25,36.65,31,1177,221,744,223,2.4937,66000,INLAND
-117.77,33.84,5,4380,715,1913,741,6.7274,266400,<1H OCEAN
-118.42,34.19,33,3353,790,2318,775,2.2589,269700,<1H OCEAN
-116.52,32.9,18,4454,852,1754,656,4.57,189900,INLAND
-121.65,39.53,23,1387,325,640,289,1.4833,65200,INLAND
-117.23,33.96,5,9179,1361,4573,1294,5.253,163300,INLAND
-117.04,32.65,8,8806,1401,3159,1059,4.2155,247800,NEAR OCEAN
-121.44,37.74,25,456,116,370,106,3.1319,112500,INLAND
-118.04,33.96,42,1430,338,1269,321,3.3214,148800,<1H OCEAN
-118.45,34.05,28,801,399,936,406,2.1875,181300,<1H OCEAN
-117.86,33.62,17,2975,371,1247,398,10.1989,500001,<1H OCEAN
-120.45,37.32,19,3136,466,1631,484,3.6471,101400,INLAND
-118.34,33.93,37,1638,407,1341,369,3.0677,167700,<1H OCEAN
-118.06,34.04,28,1516,363,1011,344,2.6288,160300,<1H OCEAN
-119.75,34.4,31,1997,299,826,301,6.8927,500001,NEAR OCEAN
-122.19,37.78,52,1026,180,469,168,2.875,160000,NEAR BAY
-117.03,32.61,22,1028,148,523,152,6.0086,166900,NEAR OCEAN
-120.09,34.61,11,586,125,317,74,2.8906,84400,NEAR OCEAN
-117.05,32.67,32,4227,785,2842,795,3.9646,137800,NEAR OCEAN
-118.37,34.05,52,1563,306,776,308,3.625,440900,<1H OCEAN
-118.23,33.99,37,378,176,714,156,2.1912,112500,<1H OCEAN
-117.37,34.13,18,5877,1043,3114,1002,4.0294,133200,INLAND
-118.35,34.02,52,427,92,233,116,3.25,134700,<1H OCEAN
-117.22,32.83,34,2936,597,1512,571,3.7841,176900,NEAR OCEAN
-117.1,32.59,21,2350,667,1621,613,2.0734,87500,NEAR OCEAN
-120.86,38.75,15,1533,300,674,287,2.5625,146100,INLAND
-119.78,36.75,43,2070,512,1925,444,1.4635,46600,INLAND
-120.3,35.1,16,2819,479,1068,365,4.5461,270800,<1H OCEAN
-117.19,32.8,16,2593,794,1235,684,3.1304,166300,NEAR OCEAN
-122.25,37.49,44,4420,743,1790,735,6.142,394700,NEAR OCEAN
-122.2,37.79,35,1802,459,1009,390,2.3036,126000,NEAR BAY
-117.15,32.76,43,2361,489,824,470,3.4196,302200,NEAR OCEAN
-121.86,37.36,31,1602,358,1179,354,4.4896,156800,<1H OCEAN
-121.24,36.34,33,1691,308,792,262,2.6648,164600,<1H OCEAN
-117.31,34.04,5,2785,577,1310,536,3.39,149500,INLAND
-117.35,34.5,10,2163,392,1174,362,3.375,98000,INLAND
-118.25,34.1,42,598,147,312,144,2.625,164300,<1H OCEAN
-122.24,38.31,38,1938,301,823,285,6.1089,280800,NEAR BAY
-122.02,37.28,25,3437,428,1198,411,9.3464,500001,<1H OCEAN
-121.83,39.1,42,1282,198,451,159,3.2917,97900,INLAND
-119.16,36.28,18,2377,414,1359,424,4.4,79300,INLAND
-118.14,34.65,20,1257,201,551,186,4.6591,247200,INLAND
-118.2,34.04,47,1894,408,1629,379,3.7619,127600,<1H OCEAN
-119.07,35.36,19,5254,894,2155,831,4.6705,110700,INLAND
-122.27,37.81,10,875,348,546,330,0.76,162500,NEAR BAY
-118.29,33.91,41,2475,532,1416,470,3.8372,156400,<1H OCEAN
-121.45,38.53,38,1746,388,1142,315,1.7714,69900,INLAND
-118.07,33.85,16,3771,606,2196,564,7.0113,319700,<1H OCEAN
-120.57,39.78,15,1291,283,582,242,2.1216,102000,INLAND
-118.18,33.82,43,2210,469,1042,418,3.5,216700,NEAR OCEAN
-118.5,34.19,35,2720,490,1158,445,5.0796,228300,<1H OCEAN
-122.08,37.7,32,2718,447,1156,410,5.2497,259300,NEAR BAY
-116.85,34.25,5,5806,1030,569,219,4.0132,163100,INLAND
-121.94,37,32,2210,426,1082,396,4.1587,315200,NEAR OCEAN
-122.03,37.54,6,2918,672,1911,639,4.1406,178200,NEAR BAY
-117.83,33.93,14,1956,282,671,269,6.5841,306400,<1H OCEAN
-118.86,35.9,38,298,55,161,47,4.125,71300,INLAND
-121.25,38.68,13,503,70,267,77,6.1943,276100,INLAND
-116.93,32.85,15,3273,895,1872,842,2.5388,119000,<1H OCEAN
-119.78,36.75,49,1175,307,982,278,1.2937,52000,INLAND
-121.27,38.71,16,4082,666,1912,652,4.4609,142900,INLAND
-121.55,38.55,10,6227,1164,2909,1077,4.106,115900,INLAND
-117.65,34.06,41,465,130,349,138,2.0893,112500,INLAND
-118.28,33.75,41,1305,381,1384,369,2.45,186800,NEAR OCEAN
-122.82,38.41,32,701,182,489,168,2.785,169300,<1H OCEAN
-118.27,33.94,43,1309,344,1182,340,1.6625,88700,<1H OCEAN
-121.58,39.12,26,2796,629,2017,632,1.8355,61200,INLAND
-121.85,37.22,21,6203,798,2494,800,7.7201,362700,<1H OCEAN
-122.14,37.77,27,2229,365,1297,355,4.8304,279100,NEAR BAY
-120.85,37.06,31,2609,645,1796,629,1.5479,82000,INLAND
-122.03,37.38,21,2667,798,1433,727,3.8732,252400,<1H OCEAN
-118.42,34.16,46,54,9,20,6,0.536,375000,<1H OCEAN
-121.97,37.79,17,5688,824,2111,773,6.6131,312500,<1H OCEAN
-122.53,37.66,25,7778,1493,4674,1451,5.4694,272400,NEAR OCEAN
-120.69,35.25,15,4210,899,1933,867,2.794,262500,NEAR OCEAN
-117.89,33.74,33,619,139,1217,146,4.6875,154400,<1H OCEAN
-121.01,37.67,37,2483,459,1072,445,3.0721,108100,INLAND
-122.38,37.18,52,1746,315,941,220,3.3047,286100,NEAR OCEAN
-122,37.27,33,1664,271,759,272,5.7876,415800,<1H OCEAN
-121.43,38.57,38,2507,446,888,448,4.0972,163700,INLAND
-122.29,37.53,41,839,190,419,215,5.012,368200,NEAR OCEAN
-120.83,35.33,14,4155,787,2112,755,4.4766,192700,NEAR OCEAN
-119.59,34.39,35,622,170,278,139,3.6969,335000,<1H OCEAN
-122.76,38.46,14,4742,756,2149,732,4.5152,199200,<1H OCEAN
-123.98,40.88,41,1719,372,844,336,2.6923,84200,<1H OCEAN
-117.92,33.65,25,1679,470,1314,473,4.1026,211500,<1H OCEAN
-117.24,34.11,23,1920,454,1161,358,2.2109,73200,INLAND
-115.51,32.68,11,2872,610,2644,581,2.625,72700,INLAND
-117.13,32.8,33,2731,456,1263,445,4.5568,175300,NEAR OCEAN
-118.01,33.95,35,1755,322,774,290,5.0861,296700,<1H OCEAN
-119.27,34.27,52,1577,343,836,335,3.5893,206600,NEAR OCEAN
-118.22,33.79,28,3008,629,2537,596,2.3,137500,NEAR OCEAN
-122.26,38.29,10,969,160,482,180,6.5799,218100,NEAR BAY
-122.42,37.76,46,2150,817,2075,807,1.3824,212500,NEAR BAY
-121.8,37.32,23,1829,346,1277,324,4.8092,217400,<1H OCEAN
-116.98,32.74,17,3943,843,1995,766,2.6944,158300,<1H OCEAN
-117.26,33.09,13,3730,761,1335,603,4.1667,227100,NEAR OCEAN
-122.56,41.69,21,2010,360,947,306,2.4107,70100,INLAND
-123.24,38.7,38,1460,311,569,176,2.7171,131300,NEAR OCEAN
-117.89,33.61,45,1883,419,653,328,4.2222,500001,<1H OCEAN
-117.87,33.87,16,1332,368,1534,295,3.0227,297100,<1H OCEAN
-122.21,37.79,52,762,190,600,195,3.0893,125000,NEAR BAY
-118.7,34.53,5,14275,2474,7158,2311,5.4284,236300,INLAND
-118.45,34.19,37,1073,254,739,253,2.4667,192200,<1H OCEAN
-119.26,36.61,33,560,90,310,113,2.5417,118800,INLAND
-117.1,32.67,22,1690,541,1669,494,2.0213,110600,NEAR OCEAN
-121.95,37.41,13,2164,412,1087,411,4.7625,137500,<1H OCEAN
-117.21,32.81,26,2496,407,1062,380,5.5413,302100,NEAR OCEAN
-118.85,34.19,27,2287,320,967,321,6.5162,349400,<1H OCEAN
-118.08,34.07,32,4089,975,3775,955,3.29,205500,<1H OCEAN
-121.77,39.66,20,3759,NA,1705,600,4.712,158600,INLAND
